Job Title,old description,cleaned_description,Job Description
 Hiring For Technical Illustrator - Bangalore,"spare parts,illustrator,corel draw,pagemaker,framemaker,manual,adobe illustrator",spare part illustrator corel draw pagemaker framemaker manual adobe illustrator,"['illustrator', 'technical illustrator', 'digital illustrator', 'medical illustrator', 'adobe xd']"
 Australian Telesales / Early Morning Shift / Salary 32k / Ahmedabad,"international bpo,australia,sales,online sales,inhouse sales,voice process,international voice process,telesales,sales representative,international call center,telemarketing",international bpo australia sale online sale inhouse sale voice process international voice process telesale sale representative international center telemarkete,"['process', 'pharmaceutical sale representative', 'sale manager', 'sale analysis']"
" .3D Modeller, 3D Architectural Visualiser, 3D Modeling Artist","3ds max,visualiser,vray,3d modeling,architecture",max visualiser modeling architecture,"['max', 'dimensional modeling', 'dmz demilitarize zone architecture', 'serverless architecture', 'datum modeling']"
 Urgent Hiring for HR Executive,"hr,hiring,communication skills",hr hiring communication skill,"['communication skill', 'communication', 'write communication', 'cross cultural communication', 'verbal communication']"
 Talent Acquisition Specialist,"manpower planning,linkedin,international recruitment,relationship management,hiring,sourcing,market mapping,head hunting,recruitment,talent acquisition",manpower planning linkedin international recruitment relationship management hire source market mapping head hunting recruitment talent acquisition,"['customer journey mapping', 'linkedin networking', 'recruitment analysis', 'talent management', 'business process mapping']"
 Enterprise Sales Officer,"wireline,usage,enterprise sales",wireline usage enterprise sale,[]
 Back Office Computer Operator,"front office executive,operations manager,back office processing,computer operator,back office assistant,front desk executive,back office executive",office executive operation manager office processing computer operator office assistant desk executive office executive,"['executive assistant', 'photographer assistant', 'chiropractic assistant', 'executive reporting']"
 Public Relation Executive,"media relations,mass communication,public relations,journalism,mass media",medium relation mass communication public relation journalism mass medium,"['medium relation', 'public relation manager', 'public relation pr', 'public relation specialist', 'security incident public relation management']"
 Mobile Application Development -,"mobile application development,git,mvvm,networking,oops,cloud,agile,database,room,android",mobile application development git mvvm networking oop cloud agile database room android,"['cloud networking', 'secure cloud networking', 'mobile app development android', 'android development', 'git']"
 Lead/ Senior Recruiter/ IT Recruiter,"resourcing,screening,it recruitment,hiring,sourcing,recruiter,talent acquisition,recruitment,staffing",resource screen recruitment hiring source recruiter talent acquisition recruitment staff,"['recruiter', 'recruitment analysis', 'talent management', 'resource planning', 'consolidate datum multiple source']"
 Java Developer,"solution architecture,maven,front end,ux,git,linux,mysql,html,open source,android",solution architecture maven end ux git linux mysql html open source android,"['maven', 'git', 'git', 'git', 'fintech solution']"
 Obiee Consultant,"r12,etl,obiee,dashboards",obiee dashboard,"['dashboard development', 'performance dashboard', 'reporting dashboard', 'data dashboard creation', 'interactive datum dashboard']"
 F&A Trainers / Sr Analyst & Team Lead,"rtr,o2c,soft skills,team leading,trainer,behavioral training,ptp",rtr soft skill team lead trainer behavioral training ptp,['corporate trainer']
 Azure Hdinsights,"sql,architecture,shell scripting,solution architecture,yarn,enterprise architecture,analysis services,paas,feasibility analysis,powershell",sql architecture shell scripting solution architecture yarn enterprise architecture analysis service paas feasibility analysis powershell,"['dmz demilitarize zone architecture', 'serverless architecture', 'datum architecture', 'software architecture', 'cloud architecture']"
" Inbound Process,call Center, call Center, BPO, Fresher's,day Shift,cce","international bpo,call center,non voice process,customer care,calling,domestic,inbound,voice process,international call center,bpo,kpo,lpo,domestic bpo,data entry,back office,computer operator",international bpo center non voice process customer care call domestic inbound voice process international center bpo kpo lpo domestic bpo datum entry office computer operator,"['datum center design management', 'process']"
 java developer,"jquery,git,cv,oracle sql,javascript,tools,.net,html,wcf",jquery git cv oracle sql javascript html wcf,"['git', 'git', 'git', 'oracle', 'html']"
